Resume,TF-IDF Similarity (%),Skill Match (%),Final Score,Matched Skills,Missing Skills
resume.pdf,14.94,87.5,36.71,"python, machine learning, sql, deep learning, pandas, numpy, tensorflow",nlp
50328713.pdf,5.44,62.5,22.56,"python, machine learning, sql, pandas, tensorflow","nlp, deep learning, numpy"
12011623.pdf,7.67,50.0,20.37,"python, machine learning, sql, pandas","nlp, deep learning, numpy, tensorflow"
28505854.pdf,7.58,25.0,12.8,"machine learning, tensorflow","python, nlp, sql, deep learning, pandas, numpy"
27152464.pdf,5.07,25.0,11.05,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
82246962.pdf,3.9,25.0,10.23,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
20566550.pdf,3.29,25.0,9.81,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
32985311.pdf,3.16,25.0,9.71,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
10624813.pdf,2.58,25.0,9.3,"python, sql","machine learning, nlp, deep learning, pandas, numpy, tensorflow"
19396040.pdf,6.55,12.5,8.33,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
30097175.pdf,4.34,12.5,6.79,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
32081266.pdf,4.24,12.5,6.72,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
12472574.pdf,3.65,12.5,6.31,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
22890839.pdf,3.64,12.5,6.3,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
28923650.pdf,3.62,12.5,6.28,machine learning,"python, nlp, sql, deep learning, pandas, numpy, tensorflow"
21038022.pdf,3.57,12.5,6.25,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
30288581.pdf,3.28,12.5,6.05,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
31694970.pdf,3.26,12.5,6.03,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
11890896.pdf,2.93,12.5,5.8,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
51588273.pdf,2.89,12.5,5.77,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
54227873.pdf,2.89,12.5,5.77,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
26456899.pdf,2.84,12.5,5.74,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
55953734.pdf,2.67,12.5,5.62,python,"machine learning, nlp, sql, deep learning, pandas, numpy, tensorflow"
17043822.pdf,2.48,12.5,5.49,sql,"python, machine learning, nlp, deep learning, pandas, numpy, tensorflow"
10985403.pdf,2.34,12.5,5.39,machine learning,"python, nlp, sql, deep learning, pandas, numpy, tensorflow"
